#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://afs-sl-pcmuit01.afservice.org/n/Shopping-Cart/msc-cart;200;OK;text/html;9417
2;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/jquery/jquery-1.4.3.min.js;200;OK;text/javascript;790
3;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/prototype-min-1.6.0.2/p-min.js;200;OK;text/javascript;494
4;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/scriptaculous-js-1.8.1/scriptaculous.js?load=effects,controls;200;OK;text/javascript;236
5;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/scriptaculous-js-1.8.1/effects.js;200;OK;text/javascript;509
6;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/scriptaculous-js-1.8.1/controls.js;200;OK;text/javascript;511
7;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/jquery/trunk8.js;200;OK;text/javascript;234
8;GET;http://afs-sl-pcmuit01.afservice.org/assets/jquery/plugins/velocity.min.js;200;OK;text/javascript;458
9;GET;http://afs-sl-pcmuit01.afservice.org/widgets/selectitbox/jquery-ui-1.10.4.custom.min.js;200;OK;text/javascript;456
10;GET;http://image1.cc-inc.com/pcm/followus.js;200;OK;application/x-javascript;607
11;GET;http://afs-sl-pcmuit01.afservice.org/mall/frameworks/fancyzoom/fancyzoom.js;200;OK;text/javascript;236
12;GET;http://afs-sl-pcmuit01.afservice.org/mall/widgetti/javascript/adobeMbox/mbox.js;200;OK;text/javascript;239
13;GET;http://afs-sl-pcmuit01.afservice.org/mall/widgetti/javascript/marketing/pcmLiveChat.js;200;OK;text/javascript;235
14;GET;http://afs-sl-pcmuit01.afservice.org/mall/widgetti/javascript/searchRedesign/jquery.json-2.4.min.js;200;OK;text/javascript;511
15;GET;http://afs-sl-pcmuit01.afservice.org/mall/widgetti/javascript/tooltip/tooltp.js;200;OK;text/javascript;522
16;GET;http://afs-sl-pcmuit01.afservice.org/widgets/tooltip/tooltipedit.js;200;OK;text/javascript;234
17;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/session-link/js/session-link.js;200;OK;text/javascript;454
18;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/change-hpage/js/change-hpage.js;200;OK;text/javascript;454
19;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/main-menu/js/main-menu.js;200;OK;text/javascript;233
20;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/search-bar/js/mustache.min.js;200;OK;text/javascript;234
21;GET;http://afs-sl-pcmuit01.afservice.org/widgets/selectyze/Selectyze.jquery.js;200;OK;text/javascript;235
22;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/search-bar/js/typeahead.js;200;OK;text/javascript;234
23;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/search-bar/js/search-dropdown.js;200;OK;text/javascript;459
24;GET;http://afs-sl-pcmuit01.afservice.org/widgets/selectitbox/jquery.selectBoxIt.js;200;OK;text/javascript;469
25;GET;http://stats.g.doubleclick.net/dc.js;200;OK;text/javascript;1488
26;GET;http://cdn.brcdn.com/v1/br-trk-5149.js;200;OK;application/javascript;726
27;GET;http://afs-sl-pcmuit01.afservice.org/mall/widgetti/javascript/omnitureDevelopment/s_code.js;200;OK;text/javascript;238
28;GET;http://afservices.122.2o7.net/b/ss/afspcmalldev/1/H.19.4/s54726528703420?AQB=1&ndh=1&t=2/1/2015%2011%3A37%3A13%201%20-480&ns=afservices&pageName=Checkout%3A%20Shopping%20Cart&g=http%3A//afs-sl-pcmuit01.afservice.org/n/Shopping-Cart/msc-cart&cc=USD&ch=Checkout&server=AFS-SL-PCMUIT01&events=scView&c1=Checkout%3A%20Shopping%20Cart&c2=Checkout%3A%20Shopping%20Cart&c3=Shopping%20Cart&c4=Shopping%20Cart&v15=061734CDE6994D33825A8DA6F1BF9698&s=1024x768&c=24&j=1.7&v=N&k=Y&bw=1256&bh=605&p=Shockwave%20Flash%3B&AQE=1;302;Found;text/plain;995
29;GET;http://afservices.122.2o7.net/b/ss/afspcmalldev/1/H.19.4/s54726528703420?AQB=1&pccr=true&vidn=2A677875051D0911-60000104400008D4&&ndh=1&t=2/1/2015%2011%3A37%3A13%201%20-480&ns=afservices&pageName=Checkout%3A%20Shopping%20Cart&g=http%3A//afs-sl-pcmuit01.afservice.org/n/Shopping-Cart/msc-cart&cc=USD&ch=Checkout&server=AFS-SL-PCMUIT01&events=scView&c1=Checkout%3A%20Shopping%20Cart&c2=Checkout%3A%20Shopping%20Cart&c3=Shopping%20Cart&c4=Shopping%20Cart&v15=061734CDE6994D33825A8DA6F1BF9698&s=1024x768&c=24&j=1.7&v=N&k=Y&bw=1256&bh=605&p=Shockwave%20Flash%3B&AQE=1;200;OK;image/gif;363
30;GET;http://afs-sl-pcmuit01.afservice.org/mall/stylesheet/wbd.css;200;OK;text/css;276
31;GET;http://afs-sl-pcmuit01.afservice.org/css/default.css;200;OK;text/css;454
32;GET;http://afs-sl-pcmuit01.afservice.org/pages/hpage/page.css;200;OK;text/css;484
33;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/css/header.css;200;OK;text/css;234
34;GET;http://afs-sl-pcmuit01.afservice.org/widgets/selectitbox/jquery.selectBoxIt.css;200;OK;text/css;234
35;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/search-bar/css/search-bar.css;200;OK;text/css;257
36;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/search-bar/css/typeahead.css;200;OK;text/css;234
37;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/main-menu/css/main-menu.css;200;OK;text/css;1481
38;GET;http://afs-sl-pcmuit01.afservice.org/widgets/header/change-hpage/css/change-hpage.css;200;OK;text/css;234
39;GET;http://afs-sl-pcmuit01.afservice.org/mall/widgetti/stylesheet/searchRedesign/commons/reset.css;200;OK;text/css;246
40;GET;http://pcmall.websitealive.com/2027/Visitor/vTracker_v2.asp?websiteid=0&groupid=2027;302;Object moved;text/html;626
41;GET;http://tracking.websitealive.com/vTracker_v2.asp?objectref=mallpc&groupid=2027&websiteid=0&departmentid=&wsa_custom0=&wsa_custom1=&wsa_custom2=&wsa_custom3=&wsa_custom4=;200;OK;application/x-javascript;1228
42;GET;http://www.googlecommerce.com/trustedstores/gtmp_compiled.js;200;OK;text/javascript;510
43;GET;http://www.gstatic.com/trustedstores/js/gtmp_compiled_CJq5WsikOC4.js;200;OK;text/javascript;627
44;POST;http://afs-sl-pcmuit01.afservice.org/n/Shopping-Cart/msc-cart?op=mall.web.misc.cartLink.cartLink;200;OK;application/json;275
45;GET;http://www.googlecommerce.com/trustedstores/s/tm2?id=235936&base_sid=7846456&jsv=CJq5WsikOC4&xpc=%7B%22cn%22%3A%22xXKiOv3Vtc%22%2C%22tp%22%3Anull%2C%22osh%22%3Anull%2C%22ppu%22%3A%22http%3A%2F%2Fafs-sl-pcmuit01.afservice.org%2Frobots.txt%22%2C%22lpu%22%3A%22http%3A%2F%2Fwww.googlecommerce.com%2Frobots.txt%22%7D;200;OK;text/html;196
46;GET;http://afs-sl-pcmuit01.afservice.org/n/Shopping-Cart/msc-cart;200;OK;text/html;1429
47;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/jquery/jquery-1.4.3.min.js;200;OK;text/javascript;14
48;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/prototype-min-1.6.0.2/p-min.js;200;OK;text/javascript;20
49;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/scriptaculous-js-1.8.1/scriptaculous.js?load=effects,controls;200;OK;text/javascript;3
50;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/scriptaculous-js-1.8.1/effects.js;200;OK;text/javascript;8
51;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/scriptaculous-js-1.8.1/controls.js;200;OK;text/javascript;6
52;GET;http://afs-sl-pcmuit01.afservice.org/ttsvr/mall/frameworks/jquery/trunk8.js;200;OK;text/javascript;3
53;GET;http://afs-sl-pcmuit01.afservice.org/assets/jquery/plugins/velocity.min.js;200;OK;text/javascript;5
54;GET;http://afs-sl-pcmuit01.afservice.org/widgets/selectitbox/jquery-ui-1.10.4.custom.min.js;200;OK;text/javascript;4
55;GET;http://image1.cc-inc.com/pcm/followus.js;200;OK;application/x-javascript;176
56;GET;http://afs-sl-pcmuit01.afservice.org/mall/frameworks/fancyzoom/fancyzoom.js;200;OK;text/javascript;4
57;GET;http://afs-sl-pcmuit01.afservice.org/mall/widgetti/javascript/adobeMbox/mbox.js;200;OK;text/javascript;6
58;GET;http://afs-sl-pcmuit01.afservice.org/mall/widgetti/javascript/marketing/pcmLiveChat.js;200;OK;text/javascript;459
